date,release,driver,provider,topology,result
1,quay.io/openshift-release-dev/ocp-release:4.3.27-x86_64,2.0.0-123,aws,spoke,pass
2,quay.io/openshift-release-dev/ocp-release:4.3.28-x86_64,2.0.0-123,azure,spoke,pass
3,quay.io/openshift-release-dev/ocp-release:4.4.10-x86_64,2.0.0-124,gcp,spoke,pass
4,quay.io/openshift-release-dev/ocp-release:4.5.0-rc.6-x86_64,2.0.0-127,gcp,spoke,pass
5,quay.io/openshift-release-dev/ocp-release:4.5.0-rc.6-x86_64,2.0.0-127,gcp,spoke,failed
6,quay.io/openshift-release-dev/ocp-release:4.5.7-x86_64,2.0.1,baremetal,spoke,pass
8,quay.io/openshift-release-dev/ocp-release:4.5.2-x86_64,2.0.1,baremetal,spoke,pass
9,quay.io/openshift-release-dev/ocp-release:4.5.2-x86_64,2.0.1,baremetal,spoke,pass
10,quay.io/openshift-release-dev/ocp-release:4.5.2-x86_64,2.0.1,baremetal,spoke,pass
2020-08-24T14:26:58Z,quay.io/openshift-release-dev/ocp-release:4.5.7-x86_64,2.0.1,baremetal,spoke,['True']
Fri Sep 25 20:39:14 UTC 2020,quay.io/openshift-release-dev/ocp-release:4.5.11-x86_64,2.1.0-DOWNSTREAM-2020-09-24-03-46-37,baremetal,spoke,['True']
Fri Sep 25 20:39:14 UTC 2020,quay.io/openshift-release-dev/ocp-release:4.5.2-x86_64,2.1.0-DOWNSTREAM-2020-09-24-03-46-37,baremetal,spoke,['True']
Sat Sep 26 01:04:26 UTC 2020,quay.io/openshift-release-dev/ocp-release:4.5.9-x86_64,2.1.0-DOWNSTREAM-2020-09-24-03-46-37,baremetal,spoke,['True']
